entry_time,entry_price,entry_deal,entry_order,exit_time,exit_price,exit_deal,profit,commission,swap,outcome,required_state_timestamp,state_timestamp,continuity_segment_id,state_at_entry,p_S0,p_S1,p_S2,max_posterior,posterior_entropy,posterior_margin,state_age,bars_since_transition,state_match_status,state_diagnostic_reason,missing_features
2025-01-22 06:47:32+00:00,1.04019,78,122,2025-01-22 08:00:00+00:00,1.04117,79,0.94,0.0,0.0,WIN,2025-01-22 06:45:00+00:00,2025-01-22 06:45:00+00:00,3.0,S2,9.701100434229182e-06,9.354499710304908e-06,0.9999809443998556,0.9999809443998556,0.00023935971351053068,0.9999712432994214,3.0,2.0,MATCHED,MATCHED,[]
2025-01-22 16:21:19+00:00,1.04132,80,125,2025-01-22 16:38:13+00:00,1.04185,81,0.51,0.0,0.0,WIN,2025-01-22 16:15:00+00:00,2025-01-22 16:15:00+00:00,3.0,S2,2.5124315741108824e-06,9.956818486257529e-06,0.9999875307499403,0.9999875307499403,0.00015954031430656147,0.999977573931454,11.0,10.0,MATCHED,MATCHED,[]
2025-01-22 20:01:28+00:00,1.04189,82,128,2025-01-23 16:12:03+00:00,1.03789,83,-4.09,0.0,-0.24,LOSS,2025-01-22 20:00:00+00:00,2025-01-22 20:00:00+00:00,3.0,S2,9.532955657280449e-06,0.2519562889360868,0.748034178108257,0.748034178108257,0.5645911335479864,0.4960778891721702,26.0,25.0,MATCHED,MATCHED,[]
2025-01-23 21:11:06+00:00,1.04153,84,131,2025-01-24 00:34:27+00:00,1.04204,85,0.41,0.0,-0.08,WIN,2025-01-23 21:00:00+00:00,2025-01-23 21:00:00+00:00,3.0,S2,6.453471207087798e-06,0.4974350403529337,0.5025585061758598,0.5025585061758598,0.6932131604518161,0.005123465822926165,1.0,0.0,MATCHED,MATCHED,[]
2025-01-27 00:01:00+00:00,1.04664,86,139,2025-01-27 08:46:19+00:00,1.04814,87,1.43,0.0,0.0,WIN,2025-01-27 00:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SPECIFIC_FEATURE_INCOMPLETE,"[""atr_change_8"", ""h1_atr_change_4"", ""h3_er_8"", ""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-01-27 16:46:32+00:00,1.04904,88,142,2025-01-27 16:53:27+00:00,1.04958,89,0.51,0.0,0.0,WIN,2025-01-27 16:45:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-01-27 20:05:19+00:00,1.04886,90,145,2025-01-27 20:40:04+00:00,1.04938,91,0.5,0.0,0.0,WIN,2025-01-27 20:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4"", ""h3_slope_atr_8""]"
2025-01-27 23:01:53+00:00,1.0484,92,147,2025-01-27 23:26:16+00:00,1.04434,93,-3.89,0.0,0.0,LOSS,2025-01-27 23:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4""]"
2025-01-28 07:40:55+00:00,1.04298,94,150,2025-01-28 07:56:42+00:00,1.0435,95,0.5,0.0,0.0,WIN,2025-01-28 07:30:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4""]"
2025-01-28 08:00:48+00:00,1.04329,96,152,2025-01-28 09:26:14+00:00,1.04379,97,0.48,0.0,0.0,WIN,2025-01-28 08:00:00+00:00,,,,,,,,,,,,NO_COMPLETE_VECTOR_AT_BOUNDARY,SEGMENT_WARMUP,"[""h3_atr_change_4""]"
2025-01-28 12:07:50+00:00,1.04152,98,154,2025-01-28 12:13:11+00:00,1.04205,99,0.51,0.0,0.0,WIN,2025-01-28 12:00:00+00:00,2025-01-28 12:00:00+00:00,4.0,S2,4.75082812026592e-07,0.00013297659663168048,0.9998665483205571,0.9998665483205571,0.0013272208666564372,0.9997335717239254,13.0,,MATCHED,MATCHED,[]
2025-01-28 19:15:03+00:00,1.0423,100,156,2025-01-28 19:30:52+00:00,1.0428,101,0.48,0.0,0.0,WIN,2025-01-28 19:15:00+00:00,2025-01-28 19:15:00+00:00,4.0,S2,7.954080108782887e-07,0.0029918793282555315,0.9970073252637337,0.9970073252637337,0.02038772774667012,0.9940154459354782,3.0,2.0,MATCHED,MATCHED,[]
2025-01-29 07:49:52+00:00,1.04156,102,161,2025-01-29 08:01:56+00:00,1.04208,103,0.5,0.0,0.0,WIN,2025-01-29 07:45:00+00:00,2025-01-29 07:45:00+00:00,4.0,S2,0.02108293463124878,1.8872582657894637e-15,0.9789170653687495,0.9789170653687495,0.10222429830596175,0.9578341307375007,1.0,0.0,MATCHED,MATCHED,[]
