period,state,variable,WIN_N,WIN_total,WIN_missing,WIN_mean,WIN_median,WIN_q25,WIN_q75,WIN_IQR,LOSS_N,LOSS_total,LOSS_missing,LOSS_mean,LOSS_median,LOSS_q25,LOSS_q75,LOSS_IQR,mean_difference,median_difference,cliffs_delta,hedges_g
2018,S1,max_posterior,139,139,0,0.9088913797758517,0.9934650820319596,0.8753564539100391,0.9999370255255956,0.12458057161555647,1,1,0,0.9994070643718426,0.9994070643718426,0.9994070643718426,0.9994070643718426,0.0,0.09051568459599091,0.005941982339882967,0.30935251798561153,
2018,S1,posterior_margin,139,139,0,0.8183426243185363,0.9869301873401422,0.7575899417889436,0.999876504552556,0.24228656276361238,1,1,0,0.9988508183002602,0.9988508183002602,0.9988508183002602,0.9988508183002602,0.0,0.1805081939817239,0.011920630960118084,0.30935251798561153,
2018,S1,posterior_entropy,139,139,0,0.19370785482120143,0.0411638238127568,0.00070328850321405,0.38868696914217765,0.3879836806389636,1,1,0,0.0051361457393612,0.0051361457393612,0.0051361457393612,0.0051361457393612,0.0,-0.18857170908184023,-0.0360276780733956,-0.30935251798561153,
2018,S2,state_age,195,195,0,14.333333333333334,10.0,4.0,20.0,16.0,48,48,0,10.416666666666666,10.0,5.0,14.0,9.0,-3.916666666666668,0.0,-0.05694444444444444,-0.2855417825650223
2018,S2,bars_since_transition,182,195,13,13.291208791208792,9.0,3.0,19.0,16.0,47,48,1,9.617021276595745,9.0,4.5,13.0,8.5,-3.674187514613047,0.0,-0.030044423661444938,-0.26413109366116694
2018,S2,max_posterior,195,195,0,0.9417063456058197,0.999522533090066,0.967832093884298,0.9999833376020701,0.032151243717772116,48,48,0,0.9941805610477287,0.9999781398368295,0.9998087184134649,0.9999932803840064,0.00018456197054150802,0.052474215441909,0.0004556067467634817,0.3655982905982906,0.48835841404429553
2018,S2,posterior_margin,195,195,0,0.8840060306009089,0.9990507847639328,0.9436776806592121,0.9999693322882415,0.05629165162902938,48,48,0,0.9883620886795638,0.9999562796736582,0.9996174368269299,0.999986560768017,0.00036912394108701285,0.10435605807865489,0.0009054949097253573,0.3658119658119658,0.48698848015729934
2018,S2,posterior_entropy,195,195,0,0.13142322699885267,0.0041595375002744,0.000209220772498,0.1445845220270886,0.1443753012545906,48,48,0,0.017886846815445844,0.00025677733167785003,8.675255186212021e-05,0.0018288082150731,0.0017420556632109798,-0.11353638018340682,-0.00390276016859655,-0.36666666666666664,-0.556935409424495
2019,S0,state_age,10,10,0,11.3,8.0,4.5,12.0,7.5,1,1,0,13.0,13.0,13.0,13.0,0.0,1.6999999999999993,5.0,0.6,
2019,S0,bars_since_transition,10,10,0,10.3,7.0,3.5,11.0,7.5,1,1,0,12.0,12.0,12.0,12.0,0.0,1.6999999999999993,5.0,0.6,
2019,S0,max_posterior,10,10,0,0.9825659838136784,0.9985054173496672,0.9936303825577992,0.9999762403674771,0.006345857809677891,1,1,0,1.0,1.0,1.0,1.0,0.0,0.017434016186321566,0.0014945826503327542,0.9,
2019,S0,posterior_margin,10,10,0,0.9651322948484328,0.997010834699334,0.9872632160780791,0.9999524807349542,0.012689264656875143,1,1,0,1.0,1.0,1.0,1.0,0.0,0.03486770515156723,0.0029891653006659524,0.9,
2019,S0,posterior_entropy,10,10,0,0.06075903713924432,0.011214562821711599,0.00024536717208598497,0.038115704453947,0.03787033728186101,1,1,0,2.0363740333850617e-71,2.0363740333850617e-71,2.0363740333850617e-71,2.0363740333850617e-71,0.0,-0.06075903713924432,-0.011214562821711599,-1.0,
2019,S1,state_age,88,88,0,7.329545454545454,4.0,2.0,8.0,6.0,2,2,0,11.5,11.5,6.25,16.75,10.5,4.170454545454546,7.5,-0.017045454545454544,0.4827441347480992
2019,S1,bars_since_transition,81,88,7,6.654320987654321,3.0,1.0,8.0,7.0,2,2,0,10.5,10.5,5.25,15.75,10.5,3.8456790123456788,7.5,-0.030864197530864196,0.4314333495166705
2019,S1,max_posterior,88,88,0,0.8926265885949204,0.9818257109105738,0.8271672784381155,0.9997180900226598,0.17255081158454422,2,2,0,0.8963642880768208,0.8963642880768208,0.8448134908478059,0.9479150853058356,0.10310159445802969,0.0037376994819003917,-0.08546142283375302,-0.06818181818181818,0.02585587948590866
2019,S1,posterior_margin,88,88,0,0.7860598392502337,0.9636731492463265,0.6543420282017263,0.9994910637927389,0.3451490355910126,2,2,0,0.7928517281532141,0.7928517281532141,0.6896898650173173,0.8960135912891111,0.20632372627179374,0.006791888902980436,-0.17082142109311238,-0.056818181818181816,0.02348411236706107
2019,S1,posterior_entropy,88,88,0,0.2387480292696026,0.0903688065687841,0.002709141323694675,0.460418523990938,0.45770938266724337,2,2,0,0.2572802048468546,0.2572802048468546,0.1311034364828479,0.38345697321086125,0.25235353672801336,0.018532175577252008,0.1669113982780705,0.06818181818181818,0.07087405341754219
2019,S2,state_age,143,143,0,8.811188811188812,6.0,3.0,12.0,9.0,22,22,0,10.636363636363637,10.0,8.0,12.75,4.75,1.825174825174825,4.0,0.3267641449459631,0.22299692239154087
2019,S2,bars_since_transition,140,143,3,7.9,5.0,2.0,11.0,9.0,21,22,1,9.904761904761905,9.0,7.0,12.0,5.0,2.0047619047619047,4.0,0.3404761904761905,0.2428600601590264
2019,S2,max_posterior,143,143,0,0.9322441050886554,0.9996445445461885,0.9593450366685872,0.9999790626773997,0.040634026008812496,22,22,0,0.997583949601096,0.9999670003398919,0.9998173417793839,0.9999961332247262,0.00017879144534238556,0.06533984451244057,0.0003224557937034911,0.43102352193261284,0.5377126822232073
2019,S2,posterior_margin,143,143,0,0.8646397425032292,0.9992892100633036,0.9189203067027558,0.9999612177987499,0.0810409110959941,22,22,0,0.9951688935711694,0.9999396990548731,0.9996346835587683,0.9999928496491397,0.00035816609037142566,0.13052915106794027,0.0006504889915694978,0.4354736172917991,0.5370701342365344
2019,S2,posterior_entropy,143,143,0,0.14462064117910642,0.0031795457838851,0.0002501474032567,0.16962188385112026,0.16937173644786355,22,22,0,0.011177830899916833,0.00038296164289295005,5.279118263615648e-05,0.0017545631050672249,0.0017017719224310683,-0.13344281027918958,-0.0027965841409921498,-0.43102352193261284,-0.597017805295483
2020,S0,state_age,18,18,0,11.88888888888889,5.5,1.0,14.5,13.5,0,0,0,,,,,,,,,
2020,S0,bars_since_transition,17,18,1,11.294117647058824,5.0,0.0,14.0,14.0,0,0,0,,,,,,,,,
2020,S0,max_posterior,18,18,0,0.9545170519358308,0.9997772566698442,0.9731991444484422,0.9999994789505366,0.026800334502094403,0,0,0,,,,,,,,,
2020,S0,posterior_margin,18,18,0,0.9218357811005657,0.9995547105459262,0.9463982888968845,0.9999989579040424,0.053600669007157875,0,0,0,,,,,,,,,
2020,S0,posterior_entropy,18,18,0,0.11856461914964268,0.00208990444752555,7.352416729461072e-06,0.12331151109588143,0.12330415867915197,0,0,0,,,,,,,,,
2020,S1,state_age,121,121,0,7.628099173553719,5.0,2.0,8.0,6.0,1,1,0,3.0,3.0,3.0,3.0,0.0,-4.628099173553719,-2.0,-0.35537190082644626,
2020,S1,bars_since_transition,115,121,6,6.626086956521739,4.0,1.0,7.0,6.0,1,1,0,2.0,2.0,2.0,2.0,0.0,-4.626086956521739,-2.0,-0.3217391304347826,
